Askola,07230,Monninkylä,2h+k,rt,"51,00",138000,2706,2018,1/1,ei,hyvä,"oma							C2013
",C2013
Askola,07230,Monninkylä,2h+k,rt,"51,00",138000,2706,2018,1/1,ei,hyvä,"oma							C2013
",C2013
Askola,07230,Monninkylä,"2h, k, s. kph, ...",rt,"54,00",140000,2593,2013, ,ei,hyvä,"oma							C2007
",C2007
Askola,07230,,"2h, k, wc ja ul...",ok,"54,00",65000,1204,1885, ,ei,huono,"oma							
",
Askola,07230,Monninkylä,"5h, k, khh, kph...",ok,"135,00",215000,1593,1999, ,ei,hyvä,"oma							C2018
",C2018
Askola,07230,Monninkylä,"3 mh, oh, k, wc...",ok,"154,00",168000,1091,1955,-1/2,ei,hyvä,"oma							
",
Askola,07230,Monninkylä,"4h, k, s, kph, ...",ok,"99,00",123000,1242,1984, ,ei,tyyd.,"oma							
",
Askola,07230,Monninkylä,"5-6h,k,s,erilli...",ok,"168,00",250000,1488,2006, ,ei,hyvä,"oma							C2018
",C2018
Askola,07500,Vakkola,"3mh, oh, k, ph,...",ok,"128,00",245000,1914,2005,-1/1,ei,hyvä,"oma							
",
Askola,07500,Kirkonkylä,"6h, 2k, kph, 3w...",ok,"120,00",82500,688,1950, ,ei,huono,"oma							
",
Askola,07500,Vakkola,Yläkerta: ...,ok,"156,00",236000,1513,1991,-1/2,ei,hyvä,"oma							
",
Askola,07500,Kirkonkylä,3h+k+kph+s+at,ok,"100,00",90000,900,1969,1/2,ei,tyyd.,"oma							E2018
",E2018
Askola,07500,Vakkola,"5h, k, s, kph, ...",ok,"137,00",215000,1569,1977, ,ei,hyvä,"oma							
",
Askola,07500,Kirkonkylä,4h+k+rt+kph+s+2xwc,ok,"113,00",184000,1628,1998,1/2,ei,hyvä,"oma							
",
Askola,07500,Vakkola,"3mh, oh, k, 2x ...",ok,"105,00",175500,1671,1991,-1/1,ei,hyvä,"oma							
",
Askola,07500,,"5h, k, s",ok,"135,00",226500,1678,2007,1/1,ei,hyvä,"oma							
",
Askola,07510,,"3-4mh, oh, k, s...",ok,"140,00",100000,714,1957, ,ei,huono,"oma							G2018
",G2018
Askola,07510,,"5h, k, s, kph, ...",ok,"170,00",250000,1471,1987, ,ei,hyvä,"oma							
",
Askola,07510,,4h+k+rt+takkah+...,ok,"137,00",150000,1095,1984,1/1,ei,tyyd.,"oma							E2018
",E2018
