",D2007
Akaa,37800,Toijala / pappila,"3h,k,kph,s,2xwc...",rt,"82,00",153000,1866,2008,1/1,ei,hyvä,"oma							E2018
",E2018
Akaa,37800,Toijala,"3h, k, s",rt,"80,00",90000,1125,1972,1/1,ei,tyyd.,"oma							A
",A
Akaa,37800,Toijala / rautala,"3h, k, kph/wc, p ",kt,"76,00",50000,658,1972,2/3,ei,hyvä,"oma							F2013
",F2013
Akaa,37800,Toijala,"3h, k",kt,"89,00",70000,787,1953,1/4,ei,hyvä,"oma							F2013
",F2013
Akaa,37800,Toijala,3h+k+s+p,kt,"69,00",98000,1420,1987,2/3,ei,hyvä,"oma							E2013
",E2013
Akaa,37800,Toijala / keskusta,3h+k+s,kt,"78,00",165000,2115,1999,5/5,on,hyvä,"oma							D2013
",D2013
Akaa,37800,Toijala / rautala,3h+k+kph/wc+vh+p,kt,"69,00",50000,725,1972,2/3,on,tyyd.,"oma							E2013
",E2013
Akaa,37800,Toijala,"3h, k, s",rt,"85,00",102000,1200,1990,1/1,ei,hyvä,"oma							D
",D
Akaa,37800,Toijala / keskusta,3h+k+kph/wc+las...,kt,"77,00",81000,1052,1978,1/5,on,hyvä,"oma							E2018
",E2018
Akaa,37800,Toijala / luhtaniitty,3h+k+wc+vh+kph+s,rt,"77,00",115000,1494,1987,1/1,ei,hyvä,"oma							E2013
",E2013
Akaa,37800,Toijala,"3h,k,kh",kt,"70,00",41000,586,1962,2/3,ei, ,"oma							E2007
",E2007
Akaa,37800,,"3-4h, k, sauna-os",ok,"87,00",130000,1494,1970, ,ei,hyvä,"oma							E2018
",E2018
Akaa,37800,,"3h, k, kph",ok,"100,00",48000,480,1917,-1/1,ei,tyyd.,"oma							
",
Akaa,37800,,"3-4 h, k, s",ok,"97,00",154000,1588,1997,1/1,ei,hyvä,"oma							
",
Akaa,37800,Toijala,"4h, k, s",ok,"160,00",133000,831,1952,-1/2,ei,hyvä,"oma							
",
Akaa,37800,Toijala,"5h, k, s",ok,"146,00",180000,1233,1986,-1/1,ei,hyvä,"oma							
",
Akaa,37800,Toijala / nahkiala,4h+k+kph/wc+wc+...,kt,"99,00",73000,737,1970,3/3,ei,huono,"oma							F2013
",F2013
Akaa,37800,Toijala,"5h, k, s",ok,"129,00",198000,1535,2012,-1/1,ei,hyvä,"oma							
",
Akaa,37800,Toijala,4h+k+wc+et+kuisti,ok,"80,00",76000,950,1945, ,ei,hyvä,"oma							
",
Akaa,37800,Toijala,"4h, k, s, khh, ...",ok,"107,00",153000,1430,1991,-1/1,ei,hyvä,"oma							
",
Akaa,37800,Toijala / keskusta,3-4h+k+s,kt,"89,00",270840,3043,2020,3/4,on,hyvä,"oma							B2018
",B2018
Akaa,37800,,"4h, k, khh, kph...",ok,"91,00",93000,1022,1950, ,ei,tyyd.,"oma							D2018
",D2018
Akaa,37800,,"4h, k, s",ok,"160,00",280000,1750,2012,-1/1,ei,hyvä,"oma							A2007
",A2007
Akaa,37800,,4h+k+khh+ph+s+a...,ok,"136,00",110000,809,1978, ,ei,hyvä,"oma							
",
Akaa,37800,,4h+k+ruokailut....,ok,"87,00",66000,759,1967, ,ei,tyyd.,"oma							
",
Akaa,37800,,5h+k+aulah.+2xw...,ok,"151,00",239000,1583,2003, ,ei,hyvä,"oma							
",
Akaa,37800,,4 h+k+kuisti+s+...,ok,"140,00",185000,1321,1950, ,ei,hyvä,"oma							D2018
",D2018
Akaa,37830,Viiala / haihunkoski,"3h, k, kph, vh, p",kt,"76,00",52000,684,1973,1/3,ei,tyyd.,"oma							C2007
",C2007
Akaa,37830,Viiala / tillihaka,3h+k+wc+kph+s+v...,rt,"96,00",50000,521,1981,1/1,ei,tyyd.,"oma							D2013
",D2013
Akaa,37830,Viiala / keskusta,"3h,k,s",kt,"70,00",55000,786,1977,1/5,on, ,"oma							C2007
",C2007
Akaa,37830,,"3h,k,s,autotall...",ok,"94,00",97500,1037,1984, ,ei,tyyd.,"oma							
",
Akaa,37830,Viiala,"oh, 2mh, k, kph...",ok,"110,00",154000,1400,1992,-1/1,ei,hyvä,"oma							E2018
",E2018
Akaa,37830,Viiala,"4h,k,rt,s,pukuh.,p",ok,"145,00",176000,1214,1946, ,ei,hyvä,"oma							
",
Akaa,37830,Viiala,"5-6h, k, s",ok,"179,00",342000,1911,2006,-1/1,ei,hyvä,"oma							
",
Akaa,37830,,"5h,k,rt,s,khh,2...",ok,"175,00",186500,1066,1995, ,ei, ,"oma							D2018
",D2018
Akaa,37830,,"Alakrs. 2h,k,wc...",ok,"136,00",65000,478,1909, ,ei,huono,"oma							
",
Akaa,37830,,4 h+k+kph+khh+s...,ok,"144,00",239000,1660,2007, ,ei,hyvä,"oma							C2018
",C2018
Akaa,37830,,4h+k+kph+s+wc+vh,ok,"115,00",118000,1026,1979, ,ei,hyvä,"oma							
",
